SNAPSHOT 26: [34.7, 15.8, 30.7, 12.9]: 8589934592, cpu_percents(2345615360) 6244319232, 4307316736, sdiskio(read_count=14815256, write_count=2528453, read_bytes=217855342592, write_bytes=68821696512, read_time=3449218, write_time=602292), snetio(bytes_sent=446519885, bytes_recv=6862616197, packets_sent=3010810, packets_recv=6737503, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 27: [77.2, 56.0, 78.0, 52.0]: 8589934592, cpu_percents(2134560768) 6455373824, 4410478592, sdiskio(read_count=14815557, write_count=2528725, read_bytes=217870895104, write_bytes=68833902592, read_time=3449280, write_time=602424), snetio(bytes_sent=446522035, bytes_recv=6862622946, packets_sent=3010823, packets_recv=6737525, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 28: [55.0, 25.0, 62.4, 23.8]: 8589934592, cpu_percents(2213896192) 6376038400, 4333654016, sdiskio(read_count=14819183, write_count=2528869, read_bytes=217901131776, write_bytes=68842192896, read_time=3449730, write_time=602530), snetio(bytes_sent=446546929, bytes_recv=6862650905, packets_sent=3010987, packets_recv=6737708, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 29: [80.2, 46.5, 81.8, 44.4]: 8589934592, cpu_percents(2165374976) 6424559616, 4368695296, sdiskio(read_count=14819996, write_count=2529041, read_bytes=217920354304, write_bytes=68843761664, read_time=3449881, write_time=602543), snetio(bytes_sent=447172091, bytes_recv=6862686739, packets_sent=3011454, packets_recv=6738051, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 30: [76.0, 53.5, 78.0, 51.0]: 8589934592, cpu_percents(2198179840) 6391754752, 4334424064, sdiskio(read_count=14821352, write_count=2529082, read_bytes=217952180224, write_bytes=68845256704, read_time=3450100, write_time=602565), snetio(bytes_sent=447744980, bytes_recv=6863882468, packets_sent=3012297, packets_recv=6739113, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 31: [57.4, 18.8, 44.6, 17.0]: 8589934592, cpu_percents(2220199936) 6369734656, 4312072192, sdiskio(read_count=14821846, write_count=2529219, read_bytes=217954920448, write_bytes=68853731328, read_time=3450155, write_time=602682), snetio(bytes_sent=447769285, bytes_recv=6863910110, packets_sent=3012450, packets_recv=6739282, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 32: [43.6, 17.0, 37.0, 14.0]: 8589934592, cpu_percents(2223185920) 6366748672, 4308819968, sdiskio(read_count=14821994, write_count=2529356, read_bytes=217957861376, write_bytes=68854689792, read_time=3450187, write_time=602695), snetio(bytes_sent=447777084, bytes_recv=6863927281, packets_sent=3012481, packets_recv=6739320, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 33: [52.5, 22.0, 47.1, 20.0]: 8589934592, cpu_percents(2216824832) 6373109760, 4321132544, sdiskio(read_count=14822221, write_count=2529384, read_bytes=217960093696, write_bytes=68855275520, read_time=3450224, write_time=602710), snetio(bytes_sent=447779539, bytes_recv=6863930963, packets_sent=3012500, packets_recv=6739342, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 34: [47.0, 19.8, 44.0, 17.8]: 8589934592, cpu_percents(2215854080) 6374080512, 4288827392, sdiskio(read_count=14822405, write_count=2529662, read_bytes=217965459456, write_bytes=68858392576, read_time=3450308, write_time=603085), snetio(bytes_sent=447794889, bytes_recv=6863947826, packets_sent=3012602, packets_recv=6739452, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 35: [59.0, 27.7, 52.5, 23.8]: 8589934592, cpu_percents(2212712448) 6377222144, 4287004672, sdiskio(read_count=14823947, write_count=2529712, read_bytes=217988407296, write_bytes=68858740736, read_time=3451128, write_time=603097), snetio(bytes_sent=447814757, bytes_recv=6863971871, packets_sent=3012735, packets_recv=6739584, errin=0, errout=0, dropin=0, dropout=0)
